Clase_actividad,Max_estrato_personas,Nombre,CP,Longitud,Latitud
"BARES, CANTINAS Y SIMILARES",5, COMPRA Y VENTA DE CERVEZAS SIN NOMBRE,70786,-95.22518248,16.32934108
"CAFETERÍAS, FUENTES DE SODAS, NEVERÍAS, REFRESQUERÍAS Y SIMILARES",5, DULCES SIN NOMBRE,52420,-99.62686270,18.97185477
SERVICIOS DE PREPARACIÓN DE OTROS ALIMENTOS PARA CONSUMO INMEDIATO,5, EL MANANTIAL DE LOS RASPADOS ROSA MARIA,63200,-105.29657335,21.94458881
"CAFETERÍAS, FUENTES DE SODAS, NEVERÍAS, REFRESQUERÍAS Y SIMILARES",5, EMANCIPACION PROLETARIA JORNADA AMPLIADA CLAVE 05DPR1140Z,27275,-103.33973696,25.53208118
"CAFETERÍAS, FUENTES DE SODAS, NEVERÍAS, REFRESQUERÍAS Y SIMILARES",5, ESCOLAR DE LA PRIMARIA TURNO VESPERTINO SIN NOMBRE,32575,-106.36731808,31.59192187
RESTAURANTES CON SERVICIO DE PREPARACIÓN DE ANTOJITOS,5, GORDITAS,32662,-106.40333539,31.66659161
RESTAURANTES CON SERVICIO DE PREPARACIÓN DE ANTOJITOS,5, GORDITAS,32662,-106.40333539,31.66659161
RESTAURANTES CON SERVICIO DE PREPARACIÓN DE ANTOJITOS,5, GORDITAS SIN NOMBRE,52400,-99.58933356,18.96031113
"RESTAURANTES CON SERVICIO DE PREPARACIÓN DE PIZZAS, HAMBURGUESAS, HOT DOGS Y POLLOS ROSTIZADOS PARA LLEVAR",5, HAMBURGESAS MONICA,32670,-106.47424310,31.66182071
"RESTAURANTES CON SERVICIO DE PREPARACIÓN DE PIZZAS, HAMBURGUESAS, HOT DOGS Y POLLOS ROSTIZADOS PARA LLEVAR",5, HAMBURGUESAS SIN NOMBRE,32575,-106.36928772,31.59155149
"RESTAURANTES CON SERVICIO DE PREPARACIÓN DE PIZZAS, HAMBURGUESAS, HOT DOGS Y POLLOS ROSTIZADOS PARA LLEVAR",5, HAMBURGUESAS SIN NOMBRE,57450,-99.05378098,19.40800396
"RESTAURANTES CON SERVICIO DE PREPARACIÓN DE PIZZAS, HAMBURGUESAS, HOT DOGS Y POLLOS ROSTIZADOS PARA LLEVAR",5, MELANIE,32595,-106.30769848,31.61632078
RESTAURANTES CON SERVICIO DE PREPARACIÓN DE ANTOJITOS,5, MENUDO SIN NOMBRE,34225,-104.58992243,24.05790603
RESTAURANTES CON SERVICIO DE PREPARACIÓN DE ANTOJITOS,5, MENUDO Y CALDO,32662,-106.40333539,31.66659161
SERVICIOS DE PREPARACIÓN DE OTROS ALIMENTOS PARA CONSUMO INMEDIATO,5, PICTES Y CHILES CURTIDOS SIN NOMBRE,30450,-93.90056845,16.23436544
SERVICIOS DE PREPARACIÓN DE OTROS ALIMENTOS PARA CONSUMO INMEDIATO,5, PRODUCTOS NATURALES DE HERBALIFE SIN NOMBRE,30187,-91.98168530,16.31766098
RESTAURANTES CON SERVICIO DE PREPARACIÓN DE ANTOJITOS,5, QUESADILLAS SIN NOMBRE,54180,-99.11464724,19.51419213
"CAFETERÍAS, FUENTES DE SODAS, NEVERÍAS, REFRESQUERÍAS Y SIMILARES",5, RASPAS,32230,-106.48989784,31.71866267
RESTAURANTES CON SERVICIO DE PREPARACIÓN DE ALIMENTOS A LA CARTA O DE COMIDA CORRIDA,100, RESTAURANT IHOP,03560,-100.26602108,25.73596114
"RESTAURANTES CON SERVICIO DE PREPARACIÓN DE PIZZAS, HAMBURGUESAS, HOT DOGS Y POLLOS ROSTIZADOS PARA LLEVAR",5, SEMIFIJO DE POLLOS AL CARBON LOS AGAVES,76904,-100.42305900,20.53820130
RESTAURANTES CON SERVICIO DE PREPARACIÓN DE TACOS Y TORTAS,5, TACOS EL CRUCERO,29980,-92.01310332,17.71156357
RESTAURANTES CON SERVICIO DE PREPARACIÓN DE TACOS Y TORTAS,5, TACOS SIN NOMBRE,32100,-106.52840400,31.75524875
SERVICIOS DE PREPARACIÓN DE OTROS ALIMENTOS PARA CONSUMO INMEDIATO,5, TAMALES VERACRUZANOS SIN NOMBRE,88283,-99.57601012,27.48338914
SERVICIOS DE PREPARACIÓN DE OTROS ALIMENTOS PARA CONSUMO INMEDIATO,5, VENTA DE ATOLE SIN NOMBRE,30187,-91.98166571,16.31767807
RESTAURANTES QUE PREPARAN OTRO TIPO DE ALIMENTOS PARA LLEVAR,5, VENTA DE COMIDA,95696,-95.40951545,17.99717114
RESTAURANTES CON SERVICIO DE PREPARACIÓN DE TACOS Y TORTAS,5,#FONDA ME VALE,01010,-99.18888248,19.36281096
"BARES, CANTINAS Y SIMILARES",10,.23,59300,-102.05702663,20.35518350
RESTAURANTES CON SERVICIO DE PREPARACIÓN DE ALIMENTOS A LA CARTA O DE COMIDA CORRIDA,10,.3 PALAFOX,60080,-102.05587976,19.40742425
"CAFETERÍAS, FUENTES DE SODAS, NEVERÍAS, REFRESQUERÍAS Y SIMILARES",5,.DETOX,09410,-99.09947984,19.37626745
SERVICIOS DE PREPARACIÓN DE OTROS ALIMENTOS PARA CONSUMO INMEDIATO,5,@ VERDE BONITO CLUB DE NUTRICION HERBALIFE,90970,-98.17308410,19.11616444
SERVICIOS DE PREPARACIÓN DE OTROS ALIMENTOS PARA CONSUMO INMEDIATO,5,@ELPUNTOHEALTHY,72700,-98.26733305,19.08951635
